Community 0,Community 1,Community 2,Community 3,Community 4,Community 5,Community 6,Community 7,Community 8,Community 9,Community 10,Community 11,Community 12,Community 13,Community 14,Community 15,Community 16,Community 17,Community 18,Community 19,Community 20,Community 21,Community 22,Community 23
155 : Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae_R-7_group_NA.63,207 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Eisenbergiella_massiliensis.1,,,199 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_CAG-56_NA.6,,,,,,,,,,,,,,,,,,,
156 : Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae_R-7_group_NA.76,208 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Eisenbergiella_tayi.1,,,201 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Coprococcus_comes.1,,,,,,,,,,,,,,,,,,,
158 : Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae_R-7_group_NA.97,214 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Frisingicoccus_NA.1,,,202 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Coprococcus_eutactus.1,,,,,,,,,,,,,,,,,,,
160 : Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_NA_NA.2,224 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnoclostridium_NA.83,,,204 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Dorea_formicigenerans.1,,,,,,,,,,,,,,,,,,,
161 : Bacteria_Firmicutes_Clostridia_Clostridia_UCG-014_NA_NA_NA.103,227 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnoclostridium_NA.98,,,205 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Dorea_longicatena.1,,,,,,,,,,,,,,,,,,,
162 : Bacteria_Firmicutes_Clostridia_Clostridia_UCG-014_NA_NA_NA.116,232 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae_NK4A136_group_bacterium.1,,,206 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Dorea_NA.31,,,,,,,,,,,,,,,,,,,
164 : Bacteria_Firmicutes_Clostridia_Clostridia_UCG-014_NA_NA_NA.15,245 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_NA_NA.43,,,209 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Eubacterium_eligens_group_NA.13,,,,,,,,,,,,,,,,,,,
166 : Bacteria_Firmicutes_Clostridia_Clostridia_UCG-014_NA_NA_NA.28,259 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Ruminococcus_torques_group_NA.27,,,210 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Eubacterium_eligens_group_NA.15,,,,,,,,,,,,,,,,,,,
167 : Bacteria_Firmicutes_Clostridia_Clostridia_UCG-014_NA_NA_NA.30,261 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Sellimonas_intestinalis.1,,,212 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Eubacterium_hallii_group_NA.9,,,,,,,,,,,,,,,,,,,
169 : Bacteria_Firmicutes_Clostridia_Clostridia_UCG-014_NA_NA_NA.51,266 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Eubacterium_coprostanoligenes_group_NA_NA.10,,,223 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnoclostridium_NA.68,,,,,,,,,,,,,,,,,,,
170 : Bacteria_Firmicutes_Clostridia_Clostridia_UCG-014_NA_NA_NA.53,269 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Eubacterium_coprostanoligenes_group_NA_NA.37,,,231 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae_ND3007_group_NA.9,,,,,,,,,,,,,,,,,,,
171 : Bacteria_Firmicutes_Clostridia_Clostridia_UCG-014_NA_NA_NA.6,274 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_Colidextribacter_NA.14,,,234 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae_NK4A136_group_NA.10,,,,,,,,,,,,,,,,,,,
174 : Bacteria_Firmicutes_Clostridia_Clostridia_vadinBB60_group_NA_NA_NA.16,278 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_Intestinimonas_NA.16,,,237 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae_NK4A136_group_NA.52,,,,,,,,,,,,,,,,,,,
175 : Bacteria_Firmicutes_Clostridia_Clostridia_vadinBB60_group_NA_NA_NA.20,282 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_NK4A214_group_NA.18,,,243 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_NA_NA.31,,,,,,,,,,,,,,,,,,,
177 : Bacteria_Firmicutes_Clostridia_Clostridia_vadinBB60_group_NA_NA_NA.61,284 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_NK4A214_group_NA.25,,,247 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_NA_NA.59,,,,,,,,,,,,,,,,,,,
178 : Bacteria_Firmicutes_Clostridia_Clostridia_vadinBB60_group_NA_NA_NA.82,286 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_NK4A214_group_NA.47,,,248 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_NA_NA.77,,,,,,,,,,,,,,,,,,,
188 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Anaerostipes_hadrus.3,288 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_Oscillibacter_NA.3,,,253 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Roseburia_NA.20,,,,,,,,,,,,,,,,,,,
190 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Bacteroides_pectinophilus_group_NA.1,289 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.11,,,255 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Ruminococcus_gauvreauii_group_NA.5,,,,,,,,,,,,,,,,,,,
200 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Coprococcus_catus.1,291 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.17,,,257 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Ruminococcus_torques_group_NA.19,,,,,,,,,,,,,,,,,,,
213 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Eubacterium_ruminantium_group_NA.2,294 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.30,,,258 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Ruminococcus_torques_group_NA.24,,,,,,,,,,,,,,,,,,,
233 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae_NK4A136_group_NA.1,297 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.37,,,262 : Bacteria_Firmicutes_Clostridia_Monoglobales_Monoglobaceae_Monoglobus_NA.5,,,,,,,,,,,,,,,,,,,
252 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Roseburia_NA.19,299 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.55,,,267 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Eubacterium_coprostanoligenes_group_NA_NA.15,,,,,,,,,,,,,,,,,,,
263 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Butyricicoccaceae_Butyricicoccus_NA.11,301 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.62,,,268 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Eubacterium_coprostanoligenes_group_NA_NA.17,,,,,,,,,,,,,,,,,,,
270 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Eubacterium_coprostanoligenes_group_NA_NA.48,309 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-005_NA.40,,,271 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Eubacterium_coprostanoligenes_group_NA_NA.49,,,,,,,,,,,,,,,,,,,
279 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_Intestinimonas_NA.7,312 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_CAG-352_NA.5,,,272 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Eubacterium_coprostanoligenes_group_NA_NA.55,,,,,,,,,,,,,,,,,,,
280 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_NA_NA.16,314 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_CAG-352_NA.8,,,273 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_Colidextribacter_NA.10,,,,,,,,,,,,,,,,,,,
281 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_NK4A214_group_NA.14,318 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Eubacterium_siraeum_group_NA.15,,,275 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_Colidextribacter_NA.17,,,,,,,,,,,,,,,,,,,
283 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_NK4A214_group_NA.21,330 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_NA_NA.38,,,295 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.31,,,,,,,,,,,,,,,,,,,
287 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_NK4A214_group_NA.48,331 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_NA_NA.68,,,306 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-005_NA.33,,,,,,,,,,,,,,,,,,,
292 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.2,336 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Ruminococcus_NA.10,,,308 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-005_NA.39,,,,,,,,,,,,,,,,,,,
293 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.25,338 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Ruminococcus_NA.18,,,319 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Faecalibacterium_NA.13,,,,,,,,,,,,,,,,,,,
300 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.61,342 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_UBA1819_NA.4,,,323 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Faecalibacterium_prausnitzii.3,,,,,,,,,,,,,,,,,,,
302 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.64,348 : Bacteria_Firmicutes_Clostridia_Peptostreptococcales-Tissierellales_Anaerovoracaceae_Family_XIII_AD3011_group_NA.13,,,326 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Faecalibacterium_prausnitzii.6,,,,,,,,,,,,,,,,,,,
303 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-003_NA.5,351 : Bacteria_Firmicutes_Clostridia_Peptostreptococcales-Tissierellales_Peptostreptococcaceae_Intestinibacter_bartlettii.1,,,327 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Incertae_Sedis_NA.20,,,,,,,,,,,,,,,,,,,
304 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-003_NA.8,352 : Bacteria_Firmicutes_Clostridia_Peptostreptococcales-Tissierellales_Peptostreptococcaceae_Peptostreptococcus_stomatis.1,,,332 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Ruminococcus_bicirculans.1,,,,,,,,,,,,,,,,,,,
305 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-005_NA.22,360 : Bacteria_Verrucomicrobiota_Verrucomicrobiae_Verrucomicrobiales_Akkermansiaceae_Akkermansia_muciniphila.1,,,335 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Ruminococcus_champanellensis.2,,,,,,,,,,,,,,,,,,,
311 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-005_NA.62,363 : Bacteria_Verrucomicrobiota_Verrucomicrobiae_Verrucomicrobiales_Akkermansiaceae_Akkermansia_NA.5,,,355 : Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_NA_NA_NA.13,,,,,,,,,,,,,,,,,,,
313 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_CAG-352_NA.6,,,,356 : Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_NA_NA_NA.2,,,,,,,,,,,,,,,,,,,
316 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Eubacterium_siraeum_group_NA.13,,,,,,,,,,,,,,,,,,,,,,,
322 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Faecalibacterium_prausnitzii.2,,,,,,,,,,,,,,,,,,,,,,,
329 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_NA_NA.13,,,,,,,,,,,,,,,,,,,,,,,
333 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Ruminococcus_bromii.1,,,,,,,,,,,,,,,,,,,,,,,
334 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Ruminococcus_bromii.2,,,,,,,,,,,,,,,,,,,,,,,
341 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Subdoligranulum_NA.60,,,,,,,,,,,,,,,,,,,,,,,
343 : Bacteria_Firmicutes_Clostridia_Oscillospirales_UCG-010_NA_NA.18,,,,,,,,,,,,,,,,,,,,,,,
344 : Bacteria_Firmicutes_Clostridia_Oscillospirales_UCG-010_NA_NA.51,,,,,,,,,,,,,,,,,,,,,,,
345 : Bacteria_Firmicutes_Clostridia_Oscillospirales_UCG-010_NA_NA.66,,,,,,,,,,,,,,,,,,,,,,,
347 : Bacteria_Firmicutes_Clostridia_Peptostreptococcales-Tissierellales_Anaerovoracaceae_Family_XIII_AD3011_group_NA.12,,,,,,,,,,,,,,,,,,,,,,,
349 : Bacteria_Firmicutes_Clostridia_Peptostreptococcales-Tissierellales_Anaerovoracaceae_Family_XIII_UCG-001_NA.1,,,,,,,,,,,,,,,,,,,,,,,
358 : Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_NA_NA_NA.5,,,,,,,,,,,,,,,,,,,,,,,
361 : Bacteria_Verrucomicrobiota_Verrucomicrobiae_Verrucomicrobiales_Akkermansiaceae_Akkermansia_muciniphila.2,,,,,,,,,,,,,,,,,,,,,,,
362 : Bacteria_Verrucomicrobiota_Verrucomicrobiae_Verrucomicrobiales_Akkermansiaceae_Akkermansia_NA.4,,,,,,,,,,,,,,,,,,,,,,,
